ID	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	EVENT_VALIDITY	CAUSE_CODE	FOCAL_DEPTH	PRIMARY_MAGNITUDE	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	MAXIMUM_WATER_HEIGHT	ABE	IIDA	SOLOVIEV	WARNING_STATUS	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
622	1818	11	8				2	1	600	8.5	INDONESIA		BALI SEA	-7	117	60	3.5			2																					2		3		
3225	1818	12	9				2	1			ITALY		GENOA	44.75	10.4	50				3																									
3268	1819	1	8	11	30		2	1			ITALY		GENOA	43.7	8	50				3																									
626	1819	4	12	3	0		4	1		8.5	CHILE		N. CHILE	-27	-71.5	89	4		2	2									2		2				1						3		3		
629	1819	6	16				3	1		7.7	INDIA		KUTCH	23	71	60													2		2			1543	4						4	1547	4		
630	1819	8	31				3	1		5.8	NORWAY		NORWAY:  RANA REGION: LUROY	66.416	12.85	73																													
623	1819						2	6			USA TERRITORY	MP	ASUNCION ISLAND, N. MARIANA ISLANDS	19.67	145.4	81			1	1																									
631	1820	3	1				2	6			USA	AK	E. ALEUTIAN ISLANDS, AK	54.52	-164.65	87				.5																									
3269	1820	3	17				-1	1		6.6	GREECE		ISLAND OF LEVKAS	38.8	20.8	50																													
633	1820	5	4				4	1		7.6	MEXICO		S. MEXICO	17.2	-99.6	88	4		1	1.5																					3				
3270	1820	7	23				2	0			ITALY		GENOA			50				3																									
635	1820	12	29				4	1	80	7.5	INDONESIA		FLORES SEA	-7	119	60	25		4	3.5		500	3						2		3			500	3						2		3		
3271	1820	12	29				2	1		6.9	GREECE		ISLAND OF ZAKYNTHOS	37.75	21.25	50				3														8	1						1	79	2		
3561	1820						2	1		6.2	CONGO		GOLD COAST	-4.5	11.6	77							3						1						3						1				
637	1821	1	6				4	1		6.5	GREECE		IONIAN SEA	37.8	21.3	50													1																
2974	1821	4	10				2	0			COSTA RICA		LA MATINA	10.1	-83.3	74																													
4315	1821	5					2	1			UK TERRITORY		ST HELENA	-15.95	-5.7	70						3	1						1					3	1						1				
2447	1821	9	3				1	9			USA	VA	ASSATEAGUE ISLAND, VA	38.083	-75.208	75								1	1																				
636	1821						-1	0			INDONESIA		FLORES SEA: BIMA	-8.456	118.723	60																													
3272	1822	3	20				1	1			LEBANON		BEIRUT			50																													
3273	1822	4	10				1	1			ITALY		CALABRIAN ARC	37.45	14.25	50																													
640	1822	5	7				2	1			COSTA RICA		MATINA	10.1	-83.3	74																													
3274	1822	8	13	20			2	1		7.1	TURKEY		ANTIOCHIA	36	36	50				3														8000	4						4				
641	1822	11	20	2	30		4	1		8.5	CHILE		CENTRAL CHILE	-33	-72	89	3.6		1.8	2														72	3			200	3		4		3		3
3275	1823	3	5	17	37		2	1			ITALY		PALERMO	38.3	14.8	50				5																									
2448	1823	5	30				0	1			USA	NY	LAKE ERIE	42.7	-79	75	2.74							1	1																				
642	1823	8	20				2	1			CROATIA		DUBROVNIK			50				4																									
643	1823	9	9				2	1	150	6.8	INDONESIA		JAVA	-6.5	108.5	60	.3			-1.5																									
3288	1823	10					-1	1			CROATIA		ADRIATIC SEA			50																													
644	1823	11	30				4	1			MARTINIQUE (FRENCH TERRITORY)		SAINT PIERRE	14.4	-61	74													1																
646	1824	9	13				-1	9			GUADELOUPE (FRENCH TERRITORY)		BASSE TERRE	16.7	-62.2	74																													
647	1824	10	26				1	1			PHILIPPINES		W. LUZON ISLAND	14.25	121.25	84				1									1						3						2		3		
648	1824	11	30				2	1			MARTINIQUE (FRENCH TERRITORY)		SAINT PIERRE	14.4	-61	74													1																
652	1825	1	3				1	0			DENMARK		DENMARK			73																													
653	1825	1	19	11	45		1	1		6.8	GREECE		IONIAN SEA	38.8	20.7	50				3														58	2						3		3		
651	1825	2	26				1	1		6.3	COLOMBIA		SANTA MARTA	11.1	-74.1	74																													
654	1825	3	21				-1	6			USA	AK	UNIMAK ISLAND, AK	54.77	-164.18	87				.5																									
2934	1825	4					2	1			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14	143.3	81																									2		3		
655	1825	9	21	1	45		2	1			TRINIDAD AND TOBAGO		PORT-OF-SPAIN	10.4	-61.3	74																													
5445	1826	1					3	1			JAPAN		CHICHI JIMA	27.07	142.21	85													1												1				
3289	1826	3	18	0	20		2	1			ITALY		SENIGALLIA	43.8	13	50				3																									
657	1826	10	22				-1	6			USA	AK	UNIMAK ISLAND, AK	55	-165	87																													
4602	1826						3	1			NEW ZEALAND		DUSKY SOUND	-45.78	166.48	81																													
660	1827	1	18				1	9			USA	CA	N. CALIFORNIA			88																													
658	1827	8	8				-1	4			USA	AK	ALASKA PENINSULA, AK			87																													
663	1827	8	9				3	4			RUSSIA		KAMCHATKA	53	158.5	86				1.5																					1				
664	1827	11	16	22	45		-1	1		7	ECUADOR		ECUADOR	-1.8	-76.4	89																													
659	1827						-1	6			USA	AK	E. ALEUTIAN ISLANDS, AK			87																													
666	1828	3	30	12	35	0	-1	1		8.3	PERU		CENTRAL PERU			89																													
667	1828	5	26				4	1		6.4	JAPAN		AMAKUSA SEA	32.6	129.9	85																													
3290	1828	10	9	13	11		2	1			ITALY		GENOA	44.8	9.2	50				3																									
668	1828	11	9	10	30		1	1		7.5	PHILIPPINES		W. LUZON ISLAND	14.55	120.9	84				.5																					1				1
669	1828	12	18				-1	1		6.9	JAPAN		NW. HONSHU ISLAND			85																		1443	4						4	11750	4		
670	1828	12	29				-1	1			INDONESIA		FLORES SEA			60																													
672	1829	5	23				2	1		7.3	TURKEY		CONSTANTINOPLE	41.1	24.3	50				2																									
673	1829	9	26				-1	1			CHILE		SC. CHILE			89																													
674	1830	1	10				1	0			HOLLAND		HOLLAND			73																													
675	1830	1	18	9	15		0	1			PHILIPPINES		W. LUZON ISLAND	14.55	120.9	84	1																		3						2		3		
676	1830	9	16				0	1			PHILIPPINES		W. LUZON ISLAND	14.55	120.9	84				1																									
3291	1831	5	26	11	30		2	1			ITALY		SAN REMO	43.8	7.8	50				3																									
3292	1831	7	2				2	1			ITALY		SCIACCA	37.05	12.3	50				1																									
677	1831	12	3	23	40		1	1			TRINIDAD AND TOBAGO		TRINIDAD & ST. CHRISTOPHER	12.4	-61.5	74																													
5552	1831						3	1			NEW ZEALAND		POVERTY BAY, NORTH ISLAND	-38.7	178	81																													
3294	1832	3	8	1	15		2	1			ITALY		CUTRO	39	17	50				3														234	3										
678	1833	1	19				2	1		6.4	ALBANIA		ALBANIA	40.4	19.9	50				4																					2				
680	1833	3	10				3	1			MEXICO		S. MEXICO	16.8	-99.9	88			1	.5																									
3578	1833	9	6				0	1		8	CHINA		YUNNAN PROVINCE	25.2	103	84																		6700	4						4	87620	4		
681	1833	11	24				4	1	75	8.3	INDONESIA		SW. SUMATRA	-2.5	100.5	60				2.5			1						2		1		1		1						2		1		1
682	1833	12	7				4	1		7.4	JAPAN		NW. HONSHU ISLAND	38.9	139.15	85	9		2.5	2.5		50	1						3	600	3			85	2						3	1140	4	1790	4
684	1834	2	9	1			4	1		6.4	JAPAN		W. HOKKAIDO ISLAND	43.3	141.4	85			2	1									1	50	1										1	73	2		
685	1834	3	14				1	1		7	MEXICO		S. MEXICO	16.8	-99.9	88			1	0									1		2										1		2		
689	1835	2	20	16	22		4	1		8.2	CHILE		CENTRAL CHILE	-36.83	-73.03	89	24		4	3		3	1						2		3		3	53	2	30	1	500	3		4		3		3
690	1835	7	12				2	0			GREECE		IONIAN ISLANDS			50				2																									
691	1835	7	20				4	1		7.6	JAPAN		SANRIKU	37.9	141.9	85	5		2.3	2			3						3		3				3						3		3		
692	1835	8	19				-1	1			JAPAN		MIYAGI, JAPAN			85			2	2																									
5042	1836	1	21				1	0			AUSTRALIA		TASMANIA	-43.3	148.9	81																													
695	1836	3	5				2	1			INDONESIA		FLORES SEA	-8.3	118.7	60				.5																									
3295	1836	4	24	16	15		3	1			ITALY		ROSSANO	39.6	16.6	50				4														589	3										
697	1836	7	3				2	1		7.5	CHILE		N. CHILE	-22.6	-70.3	89	2		1	1																									
700	1836	9	5				-1	1		5.9	JAPAN		SANRIKU	37.7	142	85			1	1																									
701	1836	11	28				2	1		7.5	INDONESIA		FLORES SEA	-8.3	118.7	60				.5																					1		2		
702	1837	1	1	1			3	1			ISRAEL		ISRAEL and SYRIAN COASTS	33	35.5	50				4																									
704	1837	8	2				-1	9			USA TERRITORY	VI	VIRGIN ISLANDS			74																													
5494	1837	8	9				2	1		6.5	MEXICO		ACAPULCO	16.86	-99.88	88				0																									
706	1837	9	29				2	1	100	7.3	INDONESIA		BANDA ACEH	5.5	96	60				.5																					2				
5495	1837	10	18				2	1		7	MEXICO		MEXICO CITY	19.45	-99.15	88				0																									
707	1837	10					2	0			MICRONESIA, FED. STATES OF		CAROLINE ISLANDS	7.5	146.5	81													2												2				
708	1837	11	7	12	51		4	1		8.5	CHILE		S. CHILE	-42.5	-74	89	6		3	3		16	1						2		3			16	1						3		3		
710	1838	5	7				2	1			CHILE		CENTRAL CHILE	-36.7	-73.1	89	.8																												
3296	1838	8	10	20	30		2	1			CROATIA		RIJEKA	45.3	14.5	50				3																									
711	1839	2	12				1	4			CHILE		CENTRAL CHILE	-33.62	-76.83	89																													
2329	1839	3					1	1			USA	HI	HAWAII			80																													
713	1839	5	1				1	1		7.3	JAPAN		SE. HOKKAIDO ISLAND	42.5	145	85			1	1																									
5520	1839						3	0			NEW ZEALAND		WAIKAWA, SOUTHLAND	-46.627	169.126	81																													
715	1840	1	4				2	1	150	7	INDONESIA		JAVA	-8	110.5	60				0																					3		3		
716	1840	1	16				-1	9			USA	CA	S. CALIFORNIA			88																													
722	1840	1	28	8			1	1	40		PERU		CENTRAL PERU	-12.3	-77.3	89				0																									
718	1840	2	14				2	1			INDONESIA		N. MOLUCCAS ISLANDS	.8	127.325	83				.5									1												2		3		
719	1840	3	22				1	1		6.5	PHILIPPINES		PHILIPPINE SEA	12.9	123.9	84			1	1		35	1						1					52	2			200	3		3		3		
5521	1840	7	28				0	1			NEW ZEALAND		WHITIANGA	-36.836	175.692	81																													
5522	1840	8					2	0			NEW ZEALAND		EAST CAPE	-37.61	178.35	81	1																												
2355	1840	11	11				0	1		5.2	USA	PA	PHILADELPHIA, PENNSYLVANIA	39.8	-75.2	75																													
714	1840						-1	1			USA	HI	HAWAII			80																													
723	1841	5	17	21	30		4	1	30	8.4	RUSSIA		KAMCHATKA	52	158	86	15		3.9	3									1												2				
724	1841	11	26				3	1			INDONESIA		MOLUCCAS ISLANDS	-5	130	83	3		1.5	1.5																									
725	1841	12	16				3	1		6	INDONESIA		BANDA SEA	-4	127.5	83	1.5		1	1.5									2		3										2		3		
721	1841						1	0			PERU		PERU			89																													
726	1842	5	7	21			4	1		8.1	HAITI		CAP-HAITIAN	19.75	-72.2	74	5		4.2			300	3						3		3			5300	4						4		4		
4313	1842	11	1				2	1			CANADA		ST. LAWRENCE			75																													
727	1842	11	11				1	1		6	BANGLADESH		BAY OF BENGAL:  NORTHERN END	24	89.25	60																									1				
728	1843	1	5				4	1	70	7.3	INDONESIA		SW. SUMATRA	1.5	98	60				2									3		3				3						3		3		
729	1843	2	7				1	1		6	INDONESIA		BALI SEA	-7.2	114	60				0																									
730	1843	2	8	14	50		4	1	33	8.3	GUADELOUPE (FRENCH TERRITORY)		POINTE-A-PITRE	16.5	-62.2	74	1.2		.3															5000	4						4				
731	1843	2	17				1	6			GUADELOUPE (FRENCH TERRITORY)		MARIE-GALANTE ISLAND	15.933	-61.267	74																													
732	1843	4	25				4	1		8.4	JAPAN		SE. HOKKAIDO ISLAND	42	146	85	4.5		2.2	2.5		45	1						2	75	2			45	1						2	75	2		
4302	1843	7	5				0	0			UK		CORNWALL, ENGLAND			73																													
733	1843	7	8	5	5		2	1		7.5	NEW ZEALAND		NEW ZEALAND	-39.9	175	81																													
735	1843	9	14	10	30		2	1		6.5	CROATIA		DUBROVNIK	42.6	18.1	50				4																									
734	1843	10	18				2	1		6.5	GREECE		ISLAND OF CHALKI	36.3	27.6	50				4																									
736	1844	3	3	18	25		2	1			CROATIA		DUBROVNIK			50				3																									
737	1844	3	8				-1	0			JAPAN		IAMACHI, JAPAN			85			1	1																									
738	1844	3	22	10	13		2	1			CROATIA		DUBROVNIK	43.4	16.7	50				2																									
741	1845	2	8	7	30		3	4		7	INDONESIA		CELEBES SEA	1.5	124.85	83				0														118	3						2		3		
742	1845	4	7				3	1		8	MEXICO		S. MEXICO	17	-100.6	88				1.5																					2				2
3311	1845	6	18				1	1			ITALY		ISLAND OF SICILY	36.4	13.44	50																													
743	1845	6	19				3	1		6.3	INDIA		RANN OF KUTCH	23.583	68.367	60																													
744	1845	7	5				1	1			NEW ZEALAND		N. NEW ZEALAND	-39.93	175.05	81	1			.5																									
745	1845	8	16	16	38		1	1			CROATIA		DUBROVNIK			50				3																									
746	1845	9					-1	1			JAPAN		NAGASAKI, JAPAN			85			1	0																									
740	1845						3	8			USA	AK	SE. ALASKA, AK			87				3		100	2											100	2										
749	1846	1	25	0	0		4	1		7.3	INDONESIA		TERNATE ISLAND, N. MOLUCCAS ISLANDS	2	126.5	83	1.2			.5																									
750	1846	3					4	1		6.9	JAPAN		SANRIKU	39.5	142.5	85	2		1	1																									
5551	1846	5	7				4	0			NEW ZEALAND		LAKE TAUPO, NORTH ISLAND	-38.96	175.73	81																													
3312	1846	7	25	17	30		2	1			TURKEY		IZMIR			50				3																									
3313	1846	8	14	12	35		3	1	5	6.1	ITALY		LIVORNO	43.4	10.6	50				3														56	2						3				
3314	1846	8	26	17	23		3	1			ITALY		TUSCANY	43.5	10.5	50				4																									
3316	1846	9	12				3	1			ITALY		TUSCANY			50																													
3317	1846	9	19				3	1			ITALY		TUSCANY			50																													
3318	1846	10	4	22	15		3	1			ITALY		TUSCANY			50																													
3319	1846	10	14	11	15		3	1			ITALY		TUSCANY			50																													
3320	1846	10	19				3	1			ITALY		TUSCANY			50																													
3321	1846	10	24				3	1			ITALY		TUSCANY			50																													
3322	1846	10	28				3	1			ITALY		TUSCANY			50																													
3323	1846	11	29	0	55		3	1			ITALY		TUSCANY			50																													
3324	1846	12	3				2	1			ITALY		TUSCANY	43.3	10.7	50				3																									
748	1846						2	1			TURKEY		ISMIR			50				3																									
3325	1847	4	15				3	1			ITALY		LIVORNO			50																													
3326	1847	4	16				3	1			ITALY		LIVORNO			50																													
3327	1847	4	17				3	1			ITALY		LIVORNO			50																													
751	1847	5	23				2	1			PERU		CENTRAL PERU	-12.1	-77.1	89	2		1	1.5									1												1				
3353	1847	8	26				2	0			ITALY		NAPLES			50				2																									
754	1847	8	27				1	9			JAPAN		SANRIKU			85			1	1.5		335	3						1					335	3						1				
756	1847	10	19				2	1			CHILE		CENTRAL CHILE	-31.61	-71.18	89																			1										
757	1847	10	31				3	1			INDIA		LITTLE NICOBAR ISLAND	7.333	93.667	60																													
758	1848	6					1	0			RUSSIA		KAMCHATKA			86																													
759	1848	7	12				2	1			FRENCH POLYNESIA		TAHITI	-17.9	-149.9	81				.5									1												1				
2793	1848	9	24				3	8			CANADA	NL	FISHING SHIPS HARBOUR, NEWFOUNDLAND	52.616	-55.766	75																													
760	1848	10	15	14	10		1	3		7.9	NEW ZEALAND		COOK STRAIT	-41.9	173.6	81	.3		-1	.5																					1				
5485	1848	10	17	4	10		-1	1		6	NEW ZEALAND		COOK STRAIT			81				.5													1										1		2
5486	1848	10	18	17	33		-1	1		6	NEW ZEALAND		WELLINGTON			81																		3	1								2		
763	1849	1	25	5	10		3	1		7.5	USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14	143.3	81	6.1		1	2			3	1	1										3				2		3		3		
767	1849	9	28	9			4	1			RUSSIA		KAMCHATKA	55	166	86																									1		1		
772	1849	12	17	10	10		4	1		6.5	CHILE		CENTRAL CHILE	-29.95	-71.37	89	5		2.3	2.5									1												1				
3433	1850	1	21				2	0			ITALY		LIVORNO			50																													
3354	1850	5	16				2	0			ITALY		LIVORNO			50																													
774	1850	7	20				1	8			JAPAN		SANRIKU	39.5	142	85	2		1	0																									
3357	1850	10	20				2	1			ITALY		LIVORNO			50																													
773	1850						1	6			NORTHWEST PACIFIC OCEAN		PHILIPPINE SEA	20.6	134.8	84																													
3770	1851	2	28	15			2	1		7.2	GREECE		DODECANESE ISLANDS	36.5	28.7	50																													
775	1851	2	28				3	1		7.2	TURKEY		FETIYE, ASIA MINOR	35.5	28.7	50	.9		-.1	3																									
777	1851	4	2	10	48		-1	1		7.1	CHILE		CENTRAL CHILE			89																			1						3		3		
778	1851	4	3				3	1			TURKEY		ASIA MINOR			50				3																									
780	1851	5	4				3	0			INDONESIA		LAMPUNG BAY	-5	105	60	1.5		3.9	1.5																									
781	1851	5	15	16	10		1	1			USA	CA	N. CALIFORNIA	37.8	-122.4	88																													
782	1851	5	23				2	0			GREECE		KHALKI ISLET			50				2																									
783	1851	5	26	18	14		2	1		7.2	CHILE		N. CHILE	-27.35	-70.35	89	3		1.6	2									1												3		3		
3372	1851	7	28	18	33		1	1		4.1	ITALY		LIGURIAN SEA	43.75	10.3	50				2																									
784	1851	10	12	6			2	1		6.6	ALBANIA		ALBANIAN COASTS	40.5	19.7	50	.66		-.1	3														2000	4						4		4		
785	1851	11	13	2	51		1	1			USA	CA	SAN FRANCISCO BAY, N. CALIFORNIA			88																													
3434	1851	12	16				1	0			ITALY		LIVORNO			50																													
5454	1852	1	9				3	1	150	6.5	INDONESIA		JAVA	-6.5	105.5	60				.5																					1				1
3373	1852	2	2	7	30		2	6			ITALY		LIVORNO			50				3																									
786	1852	5	12	2			2	1			TURKEY		ASIA MINOR			50				3																									
3435	1852	6	26	7	15		2	1			ITALY		LIVORNO			50																													
788	1852	7	17				2	2			CUBA		SANTIAGO DE CUBA	20	-75.8	74													2												2				
789	1852	9	8	22	30		3	1			TURKEY		ASIA MINOR			50				3																									
790	1852	9	16	10	30		2	1		7.5	PHILIPPINES		W. LUZON ISLAND	14	120.5	84				1.5														3	1			1	1		3		3		
793	1852	11	10				-1	1			INDONESIA		BANDA SEA			83																													
3374	1852	11	10				2	1			ITALY		LIVORNO - LIGURIAN SEA			50																													
794	1852	11	11	0	0		1	1		6.8	INDONESIA		SIBOLGA, SUMATRA	1.5	98	60				0																									
795	1852	11	16				-1	1			INDONESIA		BANDA SEA			83																													
796	1852	11	19				1	1			INDONESIA		AMBON ISLAND, BANDA SEA	-3.7	128.2	83				0																									
5452	1852	11	23				-1	1			INDONESIA		BANDA SEA			83																													
798	1852	11	25	7	9		1	1			USA	CA	SAN FRANCISCO, N. CALIFORNIA			88																													
799	1852	11	25	22	40		4	1	100	8.3	INDONESIA		BANDA SEA	-5.25	129.75	83	8		3	2.5		60	2						2		2			60	2						3		3		
801	1852	11	27				1	1			PERU		PERU	-12.1	-77.1	89																													
802	1852	11	29				1	1		7	MEXICO		N. MEXICO	32.5	-115.5	88	3			1																									
803	1852	12	4				2	1		7	MEXICO		S. MEXICO	17	-100	88				0														1	1				4		3		3		
804	1852	12	24				1	1		7	INDONESIA		BANDANEIRA	-5	130.5	83				2			1						1						1						1		2		
3375	1853	4	8	17	50		2	1			ITALY		TYRRHENIAN SEA -SALERNO			50																													
807	1853	7	15				4	1		6.7	VENEZUELA		CUMANA	10.5	-64.2	74	5												1					1000	3				3		3		3		
808	1853	8	18	8	30		3	1			GREECE		CENTRAL GREECE (EVOIKOS GULF)	38.25	23.5	50				3														17	1						2				
5475	1853	10	3				2	1			JAPAN		OKINAWA ISLAND	26.2	127.6	85				1																									
809	1853	10	29				1	6			TAIWAN		E. TAIWAN-RYUKYU ISLANDS	24	121.83	84																													
810	1853	11					1	1			RUSSIA		S. KURIL ISLANDS	47	152	86			2	2																									
3376	1853	12	11	16	15		2	1			SERBIA AND MONTENEGRO		DALMATIA - ADRIATIC SEA			50	1			3																									
811	1853	12	24				1	1			TONGA		TONGATAPU ISLAND	-21.167	-175.167	81																													
805	1853						4	8	1		USA	AK	LITUYA BAY, AK	58.63	-137.57	87	120		4.3	4			2												2										
815	1854	1	4				2	1		6	INDONESIA		BANDA SEA	-3.5	128.6	83				0																									
816	1854	1	15				1	6			NORTHWEST PACIFIC OCEAN		PHILIPPINE SEA	20.9	134.8	84																													
818	1854	1	27	18	10		3	3			USA	AK	KODIAK ISLAND, AK	57	-152	87	2.4			.5																									
3437	1854	2	29				1	0			FRANCE		LIGURIAN SEA			50																													
819	1854	5	31	12	59		1	3			USA	CA	S. CALIFORNIA	34.4	-119.7	88				0																									
820	1854	6	27				-1	1		7	RUSSIA		N. KURIL ISLANDS	51	158	86				2																									
821	1854	7	9				4	6			RUSSIA		N. KURIL ISLANDS	50.9	155.5	86																													
823	1854	7	24				2	0			USA	CA	S. CALIFORNIA			88	.1		-1.7	-2																									
824	1854	8	4				2	1		7.2	COSTA RICA		COSTA RICA-PANAMA	8.5	-83	88				1.5																									
825	1854	8	7				2	1		7.2	COSTA RICA		COSTA RICA-PANAMA	8.5	-83	88				1.5									3												3				
826	1854	8	18				2	0			USA	CA	S. CALIFORNIA			88	.03																												
827	1854	9	27				3	1			INDONESIA		N. MOLUCCAS ISLANDS	.8	127.4	83				.5																									
828	1854	10	4	18	19		3	0			USA	CA	N. CALIFORNIA			88	.03																												
829	1854	10	22	3	35		2	1			USA	CA	N. CALIFORNIA	37.8	-122.4	88				0																									
2667	1854	11	1				-1	0			USA	CA	N. CALIFORNIA			88																													
832	1854	11	10				-1	0			USA	CA	N. CALIFORNIA			88																													
833	1854	12	1				-1	0			USA	CA	N. CALIFORNIA			88																													
834	1854	12	4				1	0			MEXICO		S. MEXICO	16.8	-99.2	88																													
835	1854	12	23	0	0		4	1		8.3	JAPAN		ENSHUNADA SEA	34	137.9	85	21		4	3		300	3						4	8300	4			1000	3						4	8900	4		
837	1854	12	24	8	0		4	1		8.4	JAPAN		NANKAIDO	33.1	135	85	28		4	2.5		3000	4						4	15000	4			3000	4						4	20000	4		
3377	1854	12	29	2	45		2	1			FRANCE		LIGURIAN SEA	43.8	7.9	50													1												2		2		2
839	1855	1	23	9			3	1		8	NEW ZEALAND		NORTHERN ISLAND	-41.25	175	81	9		3.2	3																					3		3		
5523	1855	2	3				4	1			NEW ZEALAND		WHARANUI	-41.93	174.09	81																													
5507	1855	2	11	12	0			3	25	5.5	NEW ZEALAND			-39.2	177.6	81																													
841	1855	2	13				2	1			TURKEY		ASIA MINOR			50				3																									
843	1855	2	17				2	0			PORTUGAL		AZORES			73	10		1.6																										
844	1855	3	20	0	30		1	1		6	USA	CA	N. CALIFORNIA	40.75	-124.2	88				0																									
845	1855	4	14				3	0			INDONESIA		FLORES ISLAND	-9	121	60				1									1												1				
3378	1855	5	18	14			2	0			FRANCE		LIGURIAN SEA  - NICE			50				3																									
846	1855	7	11	4	15		3	3		6	USA	CA	S. CALIFORNIA	34.1	-118.1	88				0																					2	1	1	26	1
847	1855	8	11	9	15		1	1			CHILE		SC. CHILE	-33	-71.7	89				0																									
848	1855	9	25				1	1			HONDURAS		TRUJILLO	15.91	-85.96	74																													
849	1855	10	22	3	45		1	1			USA	CA	N. CALIFORNIA	37.8	-122.4	88				0																									
850	1855	11	7				4	1		7	JAPAN		ENSHUNADA	34.5	137.6	85	3		1																						1				
851	1855	11	11				4	1		7	JAPAN		TOKAIDO	35.65	139.8	85																		6757	4						4	50000	4		
5426	1855	12	3				1	1		7	JAPAN		NANKAIDO	32.5	134.5	85																													
3567	1855						0	1		4.8	CHINA		SICHUAN PROVINCE	29.2	108.1	84	3												1																
855	1856	1	6				1	0			PORTUGAL		AZORES			73																													
856	1856	2	15	13	25		3	3		5.5	USA	CA	N. CALIFORNIA	37.5	-122.3	88	.6			-1																					1				
859	1856	3	2				4	6			INDONESIA		SANGIHE ISLAND	3.67	125.5	83			1	1			1											2806	4				2		3		3		
858	1856	3					3	0			NEW ZEALAND		S CANTERBURY PROVINCE, SOUTH ISLAND	-44	172	81	1			.5																									
861	1856	7	25				2	1			INDONESIA		JAVA-FLORES SEA	-8.5	116	60				0																									
862	1856	7	26				1	6			USA	AK	UNIMAK ISLAND, AK	54.6	-165	87																													
2377	1856	8	4				4	1		7.5	HONDURAS		BAY OF HONDURAS	16	-88	74	5												2												3				
3438	1856	8	21	21	45		3	1			ALGERIA		SEA OF ALBORAN	37.1	5.7	50				4																									
3380	1856	8	22	11	40		3	1			ALGERIA		SEA OF ALBORAN	37.1	5.7	50	5			4														3	1										
864	1856	8	23	4	30		4	1		8	JAPAN		SE. HOKKAIDO ISLAND	40.5	143.5	85	6		2.6	2		26	1						2	193	3	238	3	26	1						2	193	3	238	3
5503	1856	9					2	9			JAPAN		TOKYO BAY	35.6	139.7	85				0																									
866	1856	10	12	0	45		2	1		8.3	GREECE		CRETE	35.5	26	50				3														538	3						3	8000	4		
867	1856	11	13				3	1		6.6	GREECE		CHIOS ISLAND, AEGEAN ISLANDS	38.5	26.25	50				3															2						2		3		
3639	1857	1	6				0	1			SUDAN		NILE RIVER	4.9	31.7	50																									1				
869	1857	4	17				4	3		8	PAPUA NEW GUINEA		BISMARCK SEA	-5.5	147	82				1.5			2						2		2				2						2		2		
870	1857	5	13				4	1	50	7	INDONESIA		BALI SEA	-8	115.5	60	3.4		1.6	2														36	1						2		2		
3439	1857	5	23	9			2	1			ALGERIA		SEA OF ALBORAN	36.5	1.3	50																													
871	1857	7	13	22			4	1		6.4	JAPAN		TOKAIDO	34.8	138.3	85													1												1				
868	1857	9	17	22			1	1			TURKEY		MARMARA SEA	40.2	29	50																													
872	1857	11	17				3	1			INDONESIA		KEMA, SULAWESI I, N. MOLUCCAS IS	1.35	125.2	83				1.5									2		3										2		3		
873	1857	11	18				2	1			INDONESIA		KEMA, SULAWESI I, N. MOLUCCAS IS	1.35	125.2	83				0																									
4982	1858	1	31				2	0			AUSTRALIA		TASMAN SEA			81																													
3440	1858	2	21	9	2		1	1		6.5	GREECE		GULF OF CORINTH	37.9	22.9	50																													
875	1858	4	24	11	15		2	1		6.5	CHILE		CENTRAL CHILE	-30	-71.4	89			1	1															1										
3540	1858	6	5				2	0			UK		DOVER STRAITS, ENGLAND	51.03	1.61	73	2.4																												
5550	1858	8	6				-1	9			NEW ZEALAND					81																													
877	1858	9	15				2	0			NEW ZEALAND		SE. NEW ZEALAND			81				.5																									
876	1858	9					1	1			JAPAN		RYUKYU ISLANDS	26.2	127.5	85																													
879	1858	12	13				2	1		7.3	INDONESIA		N. MOLUCCAS ISLANDS	1	126	83				1.5									3		3										3		3		
880	1859	6	28				4	1		7	INDONESIA		N. MOLUCCAS ISLANDS	1	126.5	83	10		3.2	3																									
881	1859	7	20				3	1			INDONESIA		LONTOR ISLAND, BANDA SEA	-4.6	129.9	83				0																									
882	1859	7	29				4	1		7.3	INDONESIA		N. MOLUCCAS ISLANDS	.009	125.5	83	1		1	1.5									2		2										2		2		
3381	1859	8	21	11	55		3	1		6.8	TURKEY		IMROZ - AEGEAN SEA	40	26	50				3																									
